"ID","EPG","fire","tree","river","road","urema","term100","term250","pan100","pan250","panlg100","panlg250"
"19_AEME30",45.5295386763119,-0.840249121189117,-0.670177757740021,-0.649080395698547,-1.06922960281372,-0.369664222002029,-0.474818110466003,-0.528887867927551,-0.120975404977798,-0.17851197719574,-0.0931912958621979,-0.15264618396759
"19_PHAF20",188.795075206829,-0.847311437129974,-0.553672969341278,-0.660456359386444,-1.06347072124481,-0.36799618601799,-0.530316174030304,-0.657519936561584,-0.120975404977798,-0.17851197719574,-0.0931912958621979,-0.15264618396759
"19_KOEL26",114.86643437863,-0.870014488697052,-0.801838874816895,-0.682335019111633,-1.0507378578186,-0.366716831922531,-0.740915954113007,-0.771695733070374,-0.120975404977798,-0.17851197719574,-0.0931912958621979,-0.15264618396759
"19_REAR21",44.4444444444444,-0.615982413291931,-0.805770218372345,-0.64531934261322,-1.00267553329468,-0.307971656322479,-0.8901407122612,-0.905509531497955,-0.120975404977798,-0.17851197719574,-0.0931912958621979,-0.15264618396759
"19_AEME31",369.63696369637,-0.822845876216888,-0.879202246665955,-0.846343636512756,-0.958323061466217,-0.204142093658447,-0.8901407122612,-1.03001141548157,-0.120975404977798,-0.17851197719574,-0.0931912958621979,-0.15264618396759
"19_OUOU24",1297.25870930897,-0.820944011211395,-0.691233336925507,-0.766607880592346,-0.966099500656128,-0.230235427618027,-0.8901407122612,-1.01559209823608,-0.120975404977798,-0.17851197719574,-0.0931912958621979,-0.15264618396759
"19_AEME32",186.666666666667,-1.06027328968048,-0.53339034318924,0.0972415432333946,-1.06472718715668,0.761006772518158,1.1836062669754,1.43950152397156,0.203036606311798,0.306609898805618,-0.0931912958621979,-0.15264618396759
"19_TRSC14",0,-0.50319117307663,0.495897501707077,-1.21643650531769,-1.04709780216217,0.0236279014497995,1.28507900238037,0.601743400096893,-0.120975404977798,-0.17851197719574,-0.0931912958621979,-0.15264618396759
"19_TRSC15",0,-1.1515417098999,0.609778344631195,0.924646198749542,-1.05182290077209,-0.566087365150452,1.26184833049774,1.57252764701843,-0.120975404977798,0.0121578238904476,-0.0931912958621979,-0.15264618396759
"19_TRAN19",46.905910380416,-0.78828352689743,-0.0556611232459545,-0.9289830327034,-1.01824271678925,-0.110456578433514,-0.125941708683968,-0.481187880039215,-0.120975404977798,-0.17851197719574,-0.0931912958621979,-0.15264618396759
"19_TRAN20",22.6537216828479,-0.60095876455307,1.2213089466095,-0.165309250354767,-1.06513094902039,0.170852780342102,2.87293910980225,1.95931351184845,-0.120975404977798,0.726566135883331,-0.0931912958621979,0.103404968976974
"19_TRSC17",45.0896191187453,-0.677645206451416,-0.299437642097473,-0.844135046005249,-1.08229923248291,-0.105699561536312,0.686586320400238,0.0637627467513084,-0.120975404977798,-0.17851197719574,-0.0931912958621979,-0.15264618396759
"19_TRSC18",0,-0.572294235229492,0.945666611194611,-0.174975618720055,-1.06554043292999,0.171561002731323,2.72401404380798,1.90674674510956,-0.120975404977798,0.602268755435944,-0.0931912958621979,-0.135800704360008
"19_AEME33",163.333333333333,-0.264617919921875,-0.289472430944443,0.211943596601486,-1.05619251728058,0.306170374155045,1.14700210094452,1.43902981281281,0.645338773727417,0.585373997688293,-0.0931912958621979,-0.0347278863191605
"19_AEME34",1586.66666666667,-0.818896770477295,-0.912517249584198,-0.844401776790619,-1.00264132022858,-0.184024065732956,-0.875404059886932,-0.992249488830566,-0.120975404977798,-0.17851197719574,-0.0931912958621979,-0.15264618396759
"19_AEME35",70,-0.922237575054169,-0.816611230373383,-0.672552704811096,-1.06617856025696,-0.376106441020966,-0.414900332689285,-0.633348107337952,-0.120975404977798,-0.17851197719574,-0.0931912958621979,-0.15264618396759
"19_AEME36",280,-1.15343749523163,-0.741464674472809,-0.643318653106689,-1.05906462669373,-0.408134609460831,-0.279113084077835,-0.351142138242722,-0.120975404977798,-0.17851197719574,-0.0931912958621979,-0.15264618396759
"19_OUOU25",942.75641025641,-1.2376469373703,-0.771754264831543,-0.886400997638702,-1.05615198612213,-0.537736713886261,-0.872130334377289,-0.796229600906372,-0.120975404977798,-0.17851197719574,-0.0931912958621979,-0.15264618396759
"19_PHAF21",653.333333333333,-1.22847700119019,-0.747448325157166,-0.88207334280014,-1.0621931552887,-0.540688693523407,-0.820207476615906,-0.745568633079529,-0.120975404977798,-0.17851197719574,-0.0931912958621979,-0.15264618396759
"19_TRAN21",0,-0.761734008789062,1.35182011127472,-0.20371276140213,-1.03906416893005,0.141556903719902,1.15417730808258,1.9097945690155,-0.120975404977798,2.09987139701843,-0.0931912958621979,2.66391634941101
"19_KOEL27",396.666666666667,-0.608448803424835,-0.575112462043762,-0.572239220142365,-1.06881260871887,-0.330148667097092,-0.603476941585541,-0.441816240549088,-0.120975404977798,-0.17851197719574,-0.0931912958621979,-0.15264618396759
"19_KOEL28",326.666666666667,-1.07961702346802,-0.795740485191345,-1.06729459762573,-1.07824909687042,-0.576622545719147,-0.0369755364954472,-0.38350909948349,-0.120975404977798,-0.17851197719574,-0.0931912958621979,-0.15264618396759
"19_KOEL29",186.666666666667,-0.837123692035675,-0.796246767044067,-0.0583289563655853,-1.02129364013672,-1.04354000091553,-0.80912584066391,-0.599348247051239,-0.120975404977798,-0.17851197719574,-0.0931912958621979,-0.15264618396759
"19_KOEL30",186.666666666667,-1.28624200820923,-0.452263802289963,-1.15965402126312,-1.06142890453339,-0.593683779239655,-0.254158347845078,-0.250054717063904,-0.120975404977798,-0.17851197719574,-0.0931912958621979,-0.15264618396759
